,3950,3951,3952,3953,3954,3955
2022-05-02,6.60,8.60,6.60,8.85,11.00,11.05
2022-05-03,0,0,0,0,1.75,1.75
2022-05-04,2.00,2.00,0,1.75,0,0
2022-05-05,0,0,0,0,0,0
2022-05-06,4.30,6.00,4.00,6.15,3.50,1.75
2022-05-07,2.00,0,2.00,3.50,0,3.50
2022-05-08,0,0,2.30,1.75,0,0
2022-05-09,2.00,2.00,2.00,13.20,10.55,1.75
2022-05-10,0,0,0,0,0,0
2022-05-11,4.30,2.30,4.00,6.20,4.00,5.75
2022-05-12,4.00,2.00,6.00,3.50,9.20,1.75
2022-05-13,4.00,6.30,4.00,3.50,9.65,3.95
2022-05-14,10.60,6.60,6.90,12.35,11.05,6.15
2022-05-15,2.30,0,4.30,1.75,1.75,3.50
2022-05-16,2.00,2.00,4.60,2.20,2.65,0
2022-05-17,6.00,4.00,4.00,10.10,3.95,0
2022-05-18,2.00,0,2.00,1.75,1.75,0
2022-05-19,0,0,0,0,0,0
2022-05-20,8.00,6.00,4.00,3.50,5.25,7.00
2022-05-21,2.00,2.00,2.00,1.75,3.50,1.75
2022-05-22,0,0,0,0,0,0
2022-05-23,6.60,4.30,4.30,2.65,7.50,2.65
2022-05-24,0,0,0,0,0,0
2022-05-25,2.00,2.00,0,2.20,2.20,0
2022-05-26,2.00,0,2.00,1.75,3.50,0
2022-05-27,2.00,2.00,2.00,1.75,3.50,1.75
2022-05-28,4.00,6.30,4.60,3.50,5.25,3.50
2022-05-29,4.60,4.60,6.60,6.25,5.30,5.30
2022-05-30,2.00,2.00,6.00,14.05,9.65,7.00
2022-05-31,4.00,2.00,4.00,3.95,3.50,1.75
2022-06-01,2.30,2.30,0,2.20,3.95,0
2022-06-02,2.00,2.00,4.00,3.50,1.75,1.75
2022-06-03,8.00,2.00,4.30,7.00,5.25,1.75
2022-06-04,4.00,2.00,2.00,3.50,5.25,3.50
2022-06-05,4.00,4.00,4.00,3.50,3.50,3.50
2022-06-06,6.00,4.00,2.00,3.50,3.50,1.75
2022-06-07,0,0,0,0,0,0
2022-06-08,11.20,8.60,6.90,7.50,12.30,7.90
2022-06-09,0,0,0,0,0,0
2022-06-10,2.00,0,0,2.20,0,0
2022-06-11,4.00,2.00,4.00,5.70,3.95,1.75
